;Månedslønn (kr);;;;;
3431 Fotografer og filmfotografer;48 260;49 790;44 100;49 700;51 390;45 440
3432 Interiørdesignere og dekoratører;44 700;49 170;43 440;45 970;50 370;44 800
3433 Tekniske konservatorer;43 920;:;:;45 260;:;:
3434 Sjefskokker;40 130;41 650;38 540;41 900;43 640;40 080
3439 Andre yrker innen estetiske fag;47 290;47 970;46 340;48 690;48 880;48 400
3511 Driftsteknikere, IKT;56 700;57 120;54 840;59 900;60 400;57 810
3512 Brukerstøtte, IKT;49 330;50 430;47 020;52 480;53 390;50 540
3513 Nettverks- og systemteknikere, IKT;59 810;60 190;:;64 610;64 450;65 510
3514 Internett-teknikere;55 640;60 160;51 120;57 500;62 970;52 160
3521 Teknikere innen radio og tv;49 180;49 300;48 760;51 590;51 830;50 720
3522 Teknikere innen telekom;43 660;44 640;41 950;45 430;46 360;43 600
4110 Kontormedarbeidere;42 540;44 750;41 860;44 720;46 710;44 090
4131 Stenografer mv.;:;:;:;:;:;:
4132 Dataregistrere;49 990;52 630;47 600;54 310;58 230;50 470
4211 Kundebehandlere, bank og postkontor;39 560;39 970;39 170;42 540;42 710;42 350
4212 Bingoverter, bookmakere mv.;32 090;31 640;32 310;32 850;32 700;32 930
4213 Pantelånere mv.;.;.;.;.;.;.
4214 Inkassomedarbeidere mv.;43 700;45 040;42 980;45 200;46 150;44 680
4221 Reisebyråmedarbeidere mv.;40 610;42 850;39 550;42 080;43 680;41 320
4222 Kundesentermedarbeidere;41 610;42 330;41 030;42 580;43 030;42 210
4223 Sentralbordoperatører;38 710;39 680;38 440;41 020;41 280;40 940
4224 Hotellresepsjonister;32 350;32 440;32 310;34 280;34 590;34 120
4225 Informasjonsskrankemedarbeidere;41 850;41 270;42 680;44 310;44 380;44 200
4226 Resepsjonister (ekskl. hotell);38 860;41 830;35 830;40 680;43 630;37 670
4227 Intervjuere;28 620;28 770;28 460;30 160;30 270;30 060
4229 Andre opplysningsmedarbeidere;40 760;39 720;41 480;42 730;41 570;43 540
4311 Regnskapsmedarbeidere;47 870;49 710;47 320;50 300;51 920;49 800
4312 Forsikrings- og finansmedarbeidere;46 950;:;46 500;49 050;:;47 760
4313 Lønningsmedarbeidere;48 120;48 150;48 120;50 430;50 780;50 390
4321 Lagermedarbeidere og material-forvaltere;41 550;41 960;39 480;43 360;43 810;41 230
4322 Logistikkmedarbeidere;47 530;47 830;46 690;49 740;50 070;48 860
4323 Transportfunksjonærer;45 200;45 780;42 910;47 370;48 110;44 650
4411 Bibliotekassistenter;39 360;38 080;39 770;41 090;39 760;41 570
4412 Postbud og postsorterere;:;:;:;:;:;:
4413 Kodere mv.;:;:;:;:;:;:
4415 Arkivassistenter;43 460;43 140;43 570;45 590;44 760;45 890
4416 Personalkontormedarbeidere;50 640;:;50 530;51 850;51 350;51 930
5111 Flyverter, båtverter mv.;37 230;37 500;37 140;38 820;39 640;38 540
5112 Konduktører;53 210;54 230;51 750;57 010;58 080;55 500
5113 Reiseledere og guider;35 420;35 670;35 180;37 100;37 960;36 300
5120 Kokker;36 530;37 080;35 680;37 990;38 500;37 170
5131 Servitører;31 090;32 070;30 430;32 890;33 810;32 220
5132 Bartendere;31 230;32 140;30 290;33 360;34 420;32 250
5141 Frisører;34 290;35 030;34 200;36 160;36 890;36 070
5142 Kosmetologer mv.;36 200;37 100;36 130;36 960;37 690;36 900
5151 Renholdsledere i virksomheter;40 530;42 310;39 890;42 270;44 930;41 400
5152 Husholdere;41 630;:;41 300;43 540;:;43 000
5153 Vaktmestre;41 930;42 200;39 370;43 540;43 760;41 410
5161 Astrologer mv.;.;.;.;.;.;.
5163 Begravelsesbyrå- og krematoriearbeidere;46 300;47 590;44 400;47 660;49 030;45 790
5164 Dyrepassere og - trenere mv.;33 220;35 170;32 660;34 240;36 570;33 720
5165 Kjøreskolelærere;49 480;50 010;47 680;51 080;51 690;49 080
5169 Andre personlige tjenesteytere;34 470;35 000;33 870;35 530;37 560;33 630
5211 Torghandlere;52 710;54 080;:;54 550;54 880;:
5212 Gateselgere, mat;:;:;:;:;:;:
5221 Innehavere av kiosk/liten butikk;40 810;:;39 290;44 740;:;42 620
5222 Butikkavdelingssjefer;42 510;45 000;40 710;44 270;46 960;42 260
5223 Butikkmedarbeidere;35 000;36 930;33 700;36 400;38 430;35 000
5230 Billettselgere;38 780;39 810;38 310;39 640;40 100;39 410
5241 Mannekenger og modeller;29 350;:;28 600;32 810;:;:
5242 Demonstrasjonsselgere;40 560;:;:;44 930;:;:
5243 Dørselgere;47 020;46 490;:;46 990;47 410;:
5244 Telefon- og nettselgere;39 800;40 540;38 850;41 710;42 200;41 000
5245 Servicemedarbeidere (bensinstasjon);33 390;35 810;30 650;36 840;38 940;33 560
5246 Gatekjøkken- og kafémedarbeidere mv.;29 730;30 480;29 180;31 020;31 590;30 590
5249 Andre salgsmedarbeidere;39 260;40 090;38 300;40 370;41 270;39 340
5311 Barnehage- og skolefritidsassistenter mv.;34 260;34 020;34 310;35 050;34 940;35 070
5312 Skoleassistenter;33 370;32 590;33 700;34 350;33 550;34 690
5321 Helsefagarbeidere;42 400;42 310;42 420;43 950;43 920;43 960
5322 Hjemmehjelper;37 200;38 160;36 950;38 480;39 300;38 260
5329 Andre pleiemedarbeidere;39 260;40 050;39 000;40 560;41 430;40 250
5411 Brannkonstabler;51 510;51 850;45 610;53 060;53 430;47 030
5413 Fengselsbetjenter;43 840;44 660;42 680;45 620;46 600;44 280
5414 Vektere;37 610;38 170;35 760;38 950;39 490;37 240
5419 Andre sikkerhetsarbeidere;35 560;36 120;34 650;37 080;37 620;36 220
6111 Korn- og grønnsaksprodusenter;33 660;33 900;:;35 690;36 380;:
6112 Frukt- og bærprodusenter;:;:;:;:;:;:
6113 Gartnere;34 930;36 540;31 450;37 030;38 590;33 610
6114 Kombinasjonsbrukere, nyttevekster;.;.;.;.;.;.
6121 Melke- og husdyrprodusenter;32 510;33 680;29 970;33 860;35 500;30 490
6122 Egg- og fjærfeprodusenter;35 930;36 150;35 470;37 450;37 930;36 170
6123 Birøktere mv.;:;:;:;:;:;:
6129 Andre dyreoppdrettere og røktere;:;:;:;:;:;.
6130 Plante- og husdyrprodusenter (kombinasjonsbruk);31 540;31 960;30 300;32 720;32 970;31 980
6210 Skogbrukere;37 070;37 070;:;38 830;38 830;:
6221 Havbruksarbeidere;47 370;48 220;42 770;49 820;50 980;44 280
6222 Fiskere;43 620;45 050;37 700;43 730;44 070;42 240
6224 Fangstfolk;:;:;:;:;:;:
7112 Murere;41 400;41 520;:;43 370;43 530;:
7113 Steinhoggere mv.;43 080;43 010;:;44 980;45 000;:
7114 Betongarbeidere;44 040;44 100;37 980;46 190;46 260;40 490
7115 Tømrere og snekkere;39 560;39 640;33 750;41 430;41 520;35 090
7119 Andre bygningsarbeidere;39 300;39 480;30 130;41 130;41 300;31 980
7121 Taktekkere;41 190;41 230;:;43 400;43 480;:
7122 Gulv- og flisleggere;41 510;41 530;:;43 460;43 470;:
7123 Gips- og sparklingsarbeidere;:;:;:;:;:;:
7124 Isolatører mv.;39 800;39 810;:;42 540;42 610;:
7125 Glassarbeidere;40 030;40 140;:;41 890;41 990;:
7126 Rørleggere og VVS-montører;43 770;43 860;38 320;45 630;45 780;38 700
7127 Kuldemontører mv.;46 980;47 010;:;48 870;49 020;:
7131 Malere og byggtapetserere;39 170;39 360;36 250;40 840;41 070;37 640
7132 Overflatebehandlere og lakkerere;39 780;39 920;37 300;41 760;41 920;38 630
7133 Feiere, fasaderenholdere mv.;40 130;40 460;37 540;41 910;42 260;39 320
7211 Støpere;40 450;40 590;:;42 380;42 510;:
7212 Sveisere;41 750;41 780;40 800;43 620;43 680;41 800
7213 Kopper- og blikkenslagere;41 090;41 420;30 020;42 930;43 390;29 160
7214 Platearbeidere;40 040;40 110;:;41 740;41 840;:
7215 Riggere og spleisere;46 790;46 920;:;49 100;49 160;:
7221 Smeder;38 680;38 950;:;40 730;41 110;:
7222 Verktøymaker, låsesmeder mv.;42 500;42 670;:;44 450;44 730;38 700
7223 Metalldreiere mv.;40 390;40 550;37 770;42 240;42 530;37 700
7224 Metallslipere;:;:;:;:;:;:
7231 Bilmekanikere;39 820;39 950;34 090;41 760;41 980;33 870
7232 Mekanikere innen flytekniske fag;60 940;61 730;:;61 460;62 410;:
7233 Anleggsmaskin- og industrimekanikere;44 330;44 590;38 160;46 580;46 880;39 820
7234 Sykkelreparatører mv.;34 250;34 240;:;34 800;34 770;:
7311 Presisjonsinstrumentmakere og -reparatører;48 010;48 540;:;50 430;51 030;:
7312 Musikkinstrumentmakere og -stemmere;:;:;:;:;:;:
7313 Gull- og sølvsmeder, gravører mv.;39 660;40 830;38 780;41 760;42 910;40 850
7314 Keramikere mv.;:;:;:;:;:;:
7315 Glasshåndverkere;:;:;:;:;:;:
7316 Dekormalere mv.;:;:;:;:;:;:
7317 Kunsthåndverkere i tre mv.;:;:;:;:;:;:
7318 Vevere, strikkere mv. (innen husflidsproduksjon);35 220;:;35 260;36 120;:;36 250
7319 Andre kunsthåndverkere;39 460;39 640;:;40 210;40 580;:
7321 Førtrykkere;41 750;42 190;41 150;43 610;43 790;43 350
7322 Trykkere;40 290;41 880;34 630;42 000;43 600;36 410
7323 Innbindere mv.;35 250;36 100;:;38 500;39 590;:
7411 Elektrikere;43 910;44 110;37 470;46 210;46 460;38 750
7412 Automatikere;50 170;50 690;40 410;52 090;52 660;41 680
7413 Energimontører;46 060;46 430;37 490;46 850;47 160;39 830
7421 Serviceelektronikere;45 020;44 640;48 060;46 750;46 540;48 470
7422 Tele- og IKT-installatører;37 670;37 800;35 530;38 890;39 110;35 690
7511 Slaktere, fiskehandlere mv.;37 750;38 880;34 380;40 200;41 290;35 930
7512 Bakere, konditorer mv.;37 170;40 010;33 020;38 470;41 170;34 770
7513 Ystere mv. (gårdsproduksjon);:;.;:;:;.;:
7514 Saftere, syltere mv. (gårdsproduksjon);:;:;:;:;:;:
7515 Prøvesmakere og kvalitetsbedømmere av mat og drikke;54 750;:;:;:;:;:
7522 Møbelsnekkere;38 550;38 770;35 520;40 090;40 330;36 830
7531 Skreddere, buntmakere mv.;39 570;:;39 820;39 880;:;39 540
7532 Gradører;:;:;:;:;:;:
7534 Møbeltapetserere mv.;38 720;39 550;36 760;41 940;43 240;39 340
7535 Skinnberedere og garvere;41 640;:;:;42 570;:;:
7536 Skomakere;:;:;:;:;:;:
7541 Yrkesdykkere;49 370;49 480;:;51 590;51 700;:
7542 Skytebaser og sprengningsarbeidere;57 920;58 060;:;59 660;59 780;:
7543 Produkttestere (ikke matprodukter);:;:;:;:;:;:
7544 Desinfeksjonsarbeidere og skadedyrbekjempere;40 940;41 340;:;41 930;42 520;:
7549 Andre håndverkere;34 250;:;34 170;35 160;:;35 070
8111 Bergfagarbeidere;45 650;46 010;:;47 990;48 460;:
8112 Prosessoperatører (oppredning);50 920;51 380;:;54 120;54 470;:
8113 Operatører innen boring mv.;65 150;65 570;60 480;69 190;69 590;65 100
8114 Operatører innen produksjon av betong mv.;40 200;40 230;:;41 790;41 830;40 720
8121 Operatører innen metallurgiske prosessfag;40 440;40 720;38 450;42 380;42 660;40 430
8122 Operatører innen metallflatebehandling;.;.;.;.;.;.
8131 Operatører innen kjemisk industri;47 870;48 520;44 480;50 470;51 070;47 510
8132 Operatører innen produksjon av fotofilm og -papir mv.;:;:;:;:;:;:
8141 Operatører innen produksjon av gummiprodukter;38 620;38 710;:;39 810;40 030;:
8142 Operatører innen plastprodukter;39 110;39 540;36 720;40 960;41 370;38 580
8143 Operatører innen papirprodukter;35 960;36 300;:;39 420;39 880;:
8151 Spinne- og nøstemaskinoperatører;35 600;:;:;37 430;:;:
8152 Operatører innen tekstilproduksjon mv.;37 750;39 250;36 010;39 040;40 200;37 590
8153 Industrisyere;36 140;35 240;36 390;37 530;36 460;37 880
8154 Operatører innen tekstilbearbeiding;:;:;:;:;:;:
8155 Operatører innen pels, skinn- og lærbearbeiding;:;:;.;.;.;.
8156 Operatører innen skinn og lærprodukter;:;:;:;:;:;:
8157 Renseri- og vaskerimaskinoperatører;33 360;33 180;33 460;35 140;35 020;35 200
8159 Andre operatører innen produksjon av tekstiler, pels, skinn og lær;.;.;.;.;.;.
8160 Operatører innen næringsmiddelproduksjon;38 050;39 000;36 390;39 480;40 450;37 770
8171 Operatører innen treforedling;38 740;39 150;35 990;41 460;42 000;38 230
8172 Operatører innen trelastproduksjon;37 740;37 850;36 480;39 510;39 700;37 740
8181 Operatører innen glass- og keramisk produksjon;38 620;39 100;36 120;39 940;40 380;37 700
8182 Fyrkjele- og turbinoperatører;46 230;46 380;:;47 840;48 100;:
8183 Pakke-, tappe- og etikettmaskinoperatører;41 150;42 490;38 410;42 410;44 170;39 150
8189 Andre stasjonære maskinoperatører;.;.;.;.;.;.
8211 Montører av mekaniske produkter;41 070;41 150;:;43 210;43 300;:
8212 Montører av elektriske og elektroniske produkter;42 150;43 850;38 650;43 920;45 630;40 320
8219 Andre montører;:;:;:;:;:;:
8311 Lokomotiv og T-baneførere;59 970;60 710;53 610;63 330;64 090;56 620
8312 Skiftekonduktører mv;:;:;:;56 830;56 940;:
8322 Bil-, drosje- og varebilførere;36 170;36 350;34 340;37 520;37 680;35 880
8331 Bussjåfører og trikkeførere;39 000;39 010;38 890;40 980;40 990;40 840
8332 Lastebil- og trailersjåfører;40 140;40 200;38 250;41 880;41 960;39 560
8341 Jordbruks- og skogbruksmaskinførere;39 290;39 320;:;40 660;40 660;:
8342 Anleggsmaskinførere;43 440;43 570;39 160;45 350;45 500;40 890
8343 Kran- og heisførere mv.;45 830;46 100;:;48 400;48 660;:
8344 Truckførere;39 720;39 700;:;42 370;42 390;:
8350 Dekks- og maskinmannskap (skip);45 600;46 030;37 380;47 070;47 560;38 620
9111 Renholdere i private hjem;33 760;:;33 700;35 600;:;35 390
9112 Renholdere i virksomheter;34 850;35 450;34 670;36 360;37 160;36 120
9122 Bilvaskere;34 860;35 200;31 680;36 090;36 440;33 200
9123 Vinduspussere;:;:;:;:;:;:
9129 Andre rengjørere;:;:;.;:;:;:
9211 Hjelpearbeidere i nyttevekstproduksjon;32 520;33 740;29 970;33 780;35 010;:
9212 Hjelpearbeidere i husdyrproduksjon;27 780;30 670;26 510;29 160;32 300;27 620
9213 Hjelpearbeidere i kombinasjonsbruk;30 070;30 780;27 880;31 660;32 390;29 450
9214 Hjelpearbeidere i gartneri mv.;33 990;34 600;31 610;36 480;36 780;35 230
9215 Hjelpearbeidere i skogbruk;:;:;:;:;:;:
9216 Hjelpearbeidere innen havbruk;36 300;37 930;:;38 110;:;:
9311 Hjelpearbeidere i bergverk;:;:;:;:;:;:
9312 Hjelpearbeidere i anlegg;39 610;39 830;34 770;41 910;42 140;36 990
9313 Hjelpearbeidere i bygg;36 250;36 360;33 690;38 050;38 140;35 730
9321 Håndpakkere mv.;37 160;38 360;35 380;39 340;40 440;37 560
9329 Andre hjelpearbeidere i industri;40 810;41 510;36 790;42 180;42 900;38 190
9331 Førere av ikke-motorisert kjøretøy;:;:;.;.;.;.
9333 Laste- og lossearbeidere;38 500;38 920;34 670;40 710;41 100;37 440
9334 Varepåfyllere;33 490;33 730;32 550;35 600;35 870;34 360
9412 Kjøkkenassistenter;31 360;30 620;31 720;32 960;32 260;33 310
9510 Reklamedistributører mv.;37 990;38 200;:;39 580;40 030;:
9611 Renovasjonsarbeidere;38 470;38 590;37 160;40 470;40 660;38 570
9612 Gjenvinningsarbeidere;36 480;36 740;34 810;38 070;38 530;35 570
9613 Gatefeiere mv.;:;:;.;:;:;:
9621 Bud mv.;36 500;36 600;36 130;37 470;37 730;36 620
9622 Altmuligmann;36 370;36 930;34 000;38 380;39 060;35 500
9623 Måleravlesere mv.;39 910;:;:;41 980;:;:
9629 Andre hjelpearbeidere;33 250;34 570;31 970;33 750;35 070;32 280
